,Country,Model,Price,Km,Year,Power_Hd,Fuel,Gearbox,CO2,Consumption
207,FR,Audi A3,7900.0,169000 ,2010,125 hp,Diesel,Manual,112 ,4.2 
208,FR,Audi A3,7900.0,154837 ,,152 hp,,,,
209,FR,Audi A3,7900.0,- ,,105 hp,,,,
210,,,,,2011,141 hp,Diesel,Manual,102 ,4.2 
211,,,,,2011,125 hp,Diesel,Manual,115 ,- (
212,FR,Audi A3,8990.0,154000 ,,105 hp,,,,
213,FR,Audi A3,8990.0,177737 ,2011,141 hp,Gasoline,Manual,123 ,- (
214,,,,,2007,160 hp,Diesel,Manual,- (,- (
215,FR,Audi A3,9390.0,126052 ,2008,106 hp,Diesel,Manual,- (,- (
216,FR,Audi A3,9390.0,85300 ,,106 hp,,,,
217,FR,Audi A3,9490.0,165984 ,2009,140 hp,Gasoline,Manual,134 ,5.7 
218,,,,,2012,106 hp,Diesel,Manual,106 ,- (
219,FR,Audi A3,9990.0,109200 ,2009,,Diesel,Manual,114 ,- (
220,FR,Audi A3,9990.0,189659 ,2009,,Diesel,Manual,143 ,- (
221,FR,Audi A3,9990.0,110951 ,2012,,Gasoline,Manual,134 ,5.8 
222,FR,Audi A3,9990.0,147629 ,,,,,,
223,FR,Audi A3,9999.0,86000 ,2011,,Gasoline,Manual,127 ,5.5 
224,,,,,,,,,,
225,FR,Audi A3,10500.0,88000 ,2010,,Diesel,Manual,115 ,- (
226,,,,,2008,,Gasoline,Manual,- (,- (
227,FR,Audi A3,10990.0,131000 ,2009,,Diesel,Manual,- (,- (
